;Município;Regular;Suspenso;Cancelado;Liberado;Não Liberado;Base Histórica;Aptos a Votar*
59;CANOINHAS;41.885;502.0;4.15;0;0;0;41.885
60;CAPÃO ALTO;2.897;46.0;317.0;0;0;0;2.897
61;CAPINZAL;16.855;205.0;1.2429999999999999;0;0;0;16.855
62;CAPIVARI DE BAIXO;17.331;176.0;1.7409999999999999;0;0;0;17.331
63;CATANDUVAS;8.154;157.0;560.0;0;0;0;8.154
64;CAXAMBU DO SUL;4.402;49.0;355.0;0;0;0;4.402
65;CELSO RAMOS;2.518;44.0;246.0;0;0;0;2.518
66;CERRO NEGRO;3.219;37.0;242.0;0;0;0;3.219
67;CHAPADÃO DO LAGEADO;2.515;19.0;143.0;0;0;0;2.515
68;CHAPECÓ;151.220;2.167;10.622;0;0;0;151.220
69;COCAL DO SUL;13.806;112.0;1.036;0;0;0;13.806
70;CONCÓRDIA;58.189;762.0;4.274;0;0;0;58.189
71;CORDILHEIRA ALTA;3.954;22.0;259.0;0;0;0;3.954
72;CORONEL FREITAS;8.112;99.0;640.0;0;0;0;8.112
73;CORONEL MARTINS;1.985;16.0;282.0;0;0;0;1.985
74;CORREIA PINTO;11.713;217.0;1.2209999999999999;0;0;0;11.713
75;CORUPÁ;11.032;108.0;2.075;0;0;0;11.032
76;CRICIÚMA;146.371;1.8459999999999999;16.666;0;0;0;146.371
77;CUNHA PORÃ;8.350;97.0;1.3769999999999998;0;0;0;8.350
78;CUNHATAÍ;1.746;10.0;116.0;0;0;0;1.746
79;CURITIBANOS;30.843;603.0;3.6189999999999998;0;0;0;30.843
80;DESCANSO;6.940;97.0;446.0;0;0;0;6.940
81;DIONÍSIO CERQUEIRA;11.558;218.0;1.34;0;0;0;11.558
82;DONA EMMA;3.165;27.0;228.0;0;0;0;3.165
83;DOUTOR PEDRINHO;2.964;10.0;210.0;0;0;0;2.964
84;ENTRE RIOS;2.974;50.0;234.0;0;0;0;2.974
85;ERMO;2.125;20.0;761.0;0;0;0;2.125
86;ERVAL VELHO;3.980;47.0;305.0;0;0;0;3.980
87;FAXINAL DOS GUEDES;8.725;77.0;637.0;0;0;0;8.725
88;FLOR DO SERTÃO;1.684;28.0;135.0;0;0;0;1.684
89;FLORIANÓPOLIS;357.049;3.261;52.805;0;0;0;357.049
90;FORMOSA DO SUL;2.379;36.0;189.0;0;0;0;2.379
91;FORQUILHINHA;19.694;191.0;1.565;0;0;0;19.694
92;FRAIBURGO;27.750;432.0;2.524;0;0;0;27.750
93;FREI ROGÉRIO;2.250;24.0;187.0;0;0;0;2.250
94;GALVÃO;2.674;49.0;521.0;0;0;0;2.674
95;GAROPABA;19.023;130.0;1.383;0;0;0;19.023
96;GARUVA;10.792;181.0;2.214;0;0;0;10.792
97;GASPAR;47.438;436.0;3.708;0;0;0;47.438
98;GOVERNADOR CELSO RAMOS;14.099;53.0;1.535;0;0;0;14.099
99;GRÃO-PARÁ;5.636;38.0;460.0;0;0;0;5.636
100;GRAVATAL;8.826;118.0;861.0;0;0;0;8.826
101;GUABIRUBA;15.127;104.0;2.119;0;0;0;15.127
102;GUARACIABA;8.931;91.0;600.0;0;0;0;8.931
103;GUARAMIRIM;30.590;259.0;2.381;0;0;0;30.590
104;GUARUJÁ DO SUL;4.038;41.0;363.0;0;0;0;4.038
105;GUATAMBÚ;5.649;48.0;336.0;0;0;0;5.649
106;HERVAL D'OESTE;16.545;285.0;1.5119999999999998;0;0;0;16.545
107;IBIAM;1.772;15.0;220.0;0;0;0;1.772
108;IBICARÉ;2.990;17.0;257.0;0;0;0;2.990
109;IBIRAMA;14.893;221.0;1.5959999999999999;0;0;0;14.893
110;IÇARA;40.564;411.0;3.7239999999999998;0;0;0;40.564
111;ILHOTA;10.926;110.0;1.001;0;0;0;10.926
112;IMARUÍ;9.157;88.0;2.217;0;0;0;9.157
113;IMBITUBA;37.071;305.0;3.7680000000000002;0;0;0;37.071
114;IMBUIA;4.757;45.0;392.0;0;0;0;4.757
115;INDAIAL;46.064;495.0;3.95;0;0;0;46.064
116;IOMERÊ;2.794;16.0;341.0;0;0;0;2.794
117;IPIRA;3.825;37.0;381.0;0;0;0;3.825
118;IPORÃ DO OESTE;7.130;80.0;412.0;0;0;0;7.130
119;IPUAÇU;5.429;81.0;407.0;0;0;0;5.429
120;IPUMIRIM;5.985;69.0;435.0;0;0;0;5.985
121;IRACEMINHA;3.657;34.0;275.0;0;0;0;3.657
122;IRANI;7.309;102.0;608.0;0;0;0;7.309
123;IRATI;2.045;23.0;149.0;0;0;0;2.045
124;IRINEÓPOLIS;7.939;118.0;734.0;0;0;0;7.939
125;ITÁ;6.042;77.0;425.0;0;0;0;6.042
126;ITAIÓPOLIS;16.543;151.0;1.686;0;0;0;16.543
127;ITAJAÍ;147.784;1.7480000000000002;31.705;0;0;0;147.784
128;ITAPEMA;44.264;455.0;3.266;0;0;0;44.264
129;ITAPIRANGA;12.143;179.0;780.0;0;0;0;12.143
130;ITAPOÁ;14.481;199.0;2.9160000000000004;0;0;0;14.481
131;ITUPORANGA;18.392;194.0;1.536;0;0;0;18.392
132;JABORÁ;3.776;38.0;262.0;0;0;0;3.776
133;JACINTO MACHADO;9.061;98.0;785.0;0;0;0;9.061
134;JAGUARUNA;14.539;122.0;1.514;0;0;0;14.539
135;JARAGUÁ DO SUL;114.223;988.0;17.774;0;0;0;114.223
136;JARDINÓPOLIS;1.598;16.0;113.0;0;0;0;1.598
137;JOAÇABA;22.154;252.0;1.9380000000000002;0;0;0;22.154
138;JOINVILLE;403.526;4.5680000000000005;56.836000000000006;0;0;0;403.526
139;JOSÉ BOITEUX;4.193;53.0;411.0;0;0;0;4.193
140;JUPIÁ;2.041;13.0;265.0;0;0;0;2.041
141;LACERDÓPOLIS;2.001;9.0;139.0;0;0;0;2.001
142;LAGES;123.001;2.069;13.456;0;0;0;123.001
143;LAGUNA;34.550;470.0;4.091;0;0;0;34.550
144;LAJEADO GRANDE;1.397;15.0;259.0;0;0;0;1.397
145;LAURENTINO;5.928;70.0;394.0;0;0;0;5.928
146;LAURO MÜLLER;12.223;189.0;1.2409999999999999;0;0;0;12.223
147;LEBON RÉGIS;8.943;237.0;1.0659999999999998;0;0;0;8.943
148;LEOBERTO LEAL;3.104;22.0;233.0;0;0;0;3.104
149;LINDÓIA DO SUL;3.635;32.0;310.0;0;0;0;3.635
150;LONTRAS;8.940;96.0;849.0;0;0;0;8.940
151;LUIZ ALVES;9.660;54.0;687.0;0;0;0;9.660
152;LUZERNA;5.002;30.0;370.0;0;0;0;5.002
153;MACIEIRA;1.771;19.0;229.0;0;0;0;1.771
154;MAFRA;40.255;481.0;7.5729999999999995;0;0;0;40.255
155;MAJOR GERCINO;3.058;21.0;385.0;0;0;0;3.058
156;MAJOR VIEIRA;5.758;71.0;508.0;0;0;0;5.758
157;MARACAJÁ;6.209;55.0;455.0;0;0;0;6.209
158;MARAVILHA;19.664;248.0;1.476;0;0;0;19.664
159;MAREMA;2.007;25.0;216.0;0;0;0;2.007
160;MASSARANDUBA;12.806;70.0;1.236;0;0;0;12.806
161;MATOS COSTA;2.454;46.0;240.0;0;0;0;2.454
162;MELEIRO;5.965;44.0;506.0;0;0;0;5.965
163;MIRIM DOCE;2.327;23.0;225.0;0;0;0;2.327
164;MODELO;3.329;34.0;268.0;0;0;0;3.329
165;MONDAÍ;7.660;111.0;592.0;0;0;0;7.660
166;MONTE CARLO;7.173;92.0;686.0;0;0;0;7.173
167;MONTE CASTELO;7.211;123.0;747.0;0;0;0;7.211
168;MORRO DA FUMAÇA;13.183;118.0;1.17;0;0;0;13.183
169;MORRO GRANDE;2.767;29.0;208.0;0;0;0;2.767
170;NAVEGANTES;56.001;565.0;4.822;0;0;0;56.001
171;NOVA ERECHIM;3.810;36.0;246.0;0;0;0;3.810
172;NOVA ITABERABA;3.972;40.0;218.0;0;0;0;3.972
173;NOVA TRENTO;10.432;75.0;911.0;0;0;0;10.432
174;NOVA VENEZA;11.914;96.0;920.0;0;0;0;11.914
175;NOVO HORIZONTE;2.407;22.0;314.0;0;0;0;2.407
176;ORLEANS;18.824;240.0;1.739;0;0;0;18.824
177;OTACÍLIO COSTA;13.454;200.0;1.194;0;0;0;13.454
178;OURO;5.800;48.0;491.0;0;0;0;5.800
179;OURO VERDE;1.985;19.0;153.0;0;0;0;1.985
180;PAIAL;1.908;23.0;122.0;0;0;0;1.908
181;PAINEL;2.501;26.0;231.0;0;0;0;2.501
182;PALHOÇA;126.585;1.287;13.673;0;0;0;126.585
183;PALMA SOLA;5.760;88.0;568.0;0;0;0;5.760
184;PALMEIRA;2.881;40.0;258.0;0;0;0;2.881
185;PALMITOS;12.070;109.0;1.75;0;0;0;12.070
186;PAPANDUVA;13.785;213.0;2.6919999999999997;0;0;0;13.785
187;PARAÍSO;3.709;47.0;326.0;0;0;0;3.709
188;PASSO DE TORRES;6.349;74.0;569.0;0;0;0;6.349
189;PASSOS MAIA;3.213;45.0;493.0;0;0;0;3.213
190;PAULO LOPES;6.257;40.0;670.0;0;0;0;6.257
191;PEDRAS GRANDES;4.188;31.0;406.0;0;0;0;4.188
192;PENHA;19.896;148.0;5.434;0;0;0;19.896
193;PERITIBA;2.736;21.0;207.0;0;0;0;2.736
194;PESCARIA BRAVA;7.365;50.0;1.463;0;0;0;7.365
195;PETROLÂNDIA;5.212;42.0;457.0;0;0;0;5.212
196;PINHALZINHO;14.367;226.0;1.49;0;0;0;14.367
197;PINHEIRO PRETO;2.704;29.0;475.0;0;0;0;2.704
198;PIRATUBA;5.118;52.0;439.0;0;0;0;5.118
199;PLANALTO ALEGRE;2.767;26.0;205.0;0;0;0;2.767
200;POMERODE;24.557;224.0;2.245;0;0;0;24.557
201;PONTE ALTA;4.132;77.0;481.0;0;0;0;4.132
202;PONTE ALTA DO NORTE;2.616;38.0;350.0;0;0;0;2.616
203;PONTE SERRADA;7.806;160.0;1.6680000000000001;0;0;0;7.806
204;PORTO BELO;14.752;153.0;1.476;0;0;0;14.752
205;PORTO UNIÃO;25.510;472.0;2.847;0;0;0;25.510
206;POUSO REDONDO;11.435;121.0;1.121;0;0;0;11.435
207;PRAIA GRANDE;6.110;54.0;532.0;0;0;0;6.110
208;PRESIDENTE CASTELLO BRANCO;1.632;16.0;161.0;0;0;0;1.632
209;PRESIDENTE GETÚLIO;13.077;128.0;1.12;0;0;0;13.077
210;PRESIDENTE NEREU;2.246;31.0;225.0;0;0;0;2.246
211;PRINCESA;2.529;41.0;188.0;0;0;0;2.529
212;QUILOMBO;8.024;162.0;1.067;0;0;0;8.024
213;RANCHO QUEIMADO;3.072;5.0;315.0;0;0;0;3.072
214;RIO DAS ANTAS;5.286;56.0;557.0;0;0;0;5.286
215;RIO DO CAMPO;5.184;78.0;451.0;0;0;0;5.184
216;RIO DO OESTE;5.940;41.0;461.0;0;0;0;5.940
217;RIO DO SUL;49.829;573.0;4.725;0;0;0;49.829
218;RIO DOS CEDROS;8.662;40.0;715.0;0;0;0;8.662
219;RIO FORTUNA;4.327;20.0;315.0;0;0;0;4.327
220;RIO NEGRINHO;31.476;406.0;3.2969999999999997;0;0;0;31.476
221;RIO RUFINO;2.290;19.0;206.0;0;0;0;2.290
222;RIQUEZA;4.076;54.0;304.0;0;0;0;4.076
223;RODEIO;9.822;82.0;916.0;0;0;0;9.822
224;ROMELÂNDIA;3.805;52.0;738.0;0;0;0;3.805
225;SALETE;6.004;60.0;545.0;0;0;0;6.004
226;SALTINHO;3.254;48.0;218.0;0;0;0;3.254
227;SALTO VELOSO;3.475;45.0;284.0;0;0;0;3.475
228;SANGÃO;8.255;79.0;873.0;0;0;0;8.255
229;SANTA CECÍLIA;12.939;200.0;1.412;0;0;0;12.939
230;SANTA HELENA;2.275;28.0;174.0;0;0;0;2.275
231;SANTA ROSA DE LIMA;1.994;14.0;134.0;0;0;0;1.994
232;SANTA ROSA DO SUL;7.188;64.0;623.0;0;0;0;7.188
233;SANTA TEREZINHA;6.464;58.0;603.0;0;0;0;6.464
234;SANTA TEREZINHA DO PROGRESSO;2.408;42.0;198.0;0;0;0;2.408
235;SANTIAGO DO SUL;1.440;17.0;153.0;0;0;0;1.440
236;SANTO AMARO DA IMPERATRIZ;17.936;95.0;1.963;0;0;0;17.936
237;SÃO BENTO DO SUL;61.672;608.0;5.132999999999999;0;0;0;61.672
238;SÃO BERNARDINO;2.423;24.0;146.0;0;0;0;2.423
239;SÃO BONIFÁCIO;2.707;7.0;315.0;0;0;0;2.707
240;SÃO CARLOS;8.202;70.0;644.0;0;0;0;8.202
241;SÃO CRISTÓVÃO DO SUL;3.471;59.0;418.0;0;0;0;3.471
242;SÃO DOMINGOS;7.107;97.0;1.04;0;0;0;7.107
243;SÃO FRANCISCO DO SUL;37.386;530.0;4.027;0;0;0;37.386
244;SÃO JOÃO BATISTA;22.008;200.0;1.662;0;0;0;22.008
245;SÃO JOÃO DO ITAPERIÚ;3.657;14.0;263.0;0;0;0;3.657
246;SÃO JOÃO DO OESTE;5.099;42.0;311.0;0;0;0;5.099
247;SÃO JOÃO DO SUL;6.397;46.0;487.0;0;0;0;6.397
248;SÃO JOAQUIM;18.997;192.0;2.215;0;0;0;18.997
249;SÃO JOSÉ;170.817;1.7990000000000002;21.986;0;0;0;170.817
250;SÃO JOSÉ DO CEDRO;11.370;175.0;901.0;0;0;0;11.370
251;SÃO JOSÉ DO CERRITO;7.166;71.0;667.0;0;0;0;7.166
252;SÃO LOURENÇO DO OESTE;18.668;207.0;1.383;0;0;0;18.668
253;SÃO LUDGERO;8.838;75.0;706.0;0;0;0;8.838
254;SÃO MARTINHO;3.257;15.0;243.0;0;0;0;3.257
255;SÃO MIGUEL DA BOA VISTA;1.695;11.0;147.0;0;0;0;1.695
256;SÃO MIGUEL DO OESTE;30.930;497.0;2.519;0;0;0;30.930
257;SÃO PEDRO DE ALCÂNTARA;3.880;20.0;433.0;0;0;0;3.880
258;SAUDADES;7.421;47.0;497.0;0;0;0;7.421
259;SCHROEDER;13.330;90.0;942.0;0;0;0;13.330
260;SEARA;14.346;195.0;1.075;0;0;0;14.346
261;SERRA ALTA;2.770;14.0;168.0;0;0;0;2.770
262;SIDERÓPOLIS;10.922;112.0;1.127;0;0;0;10.922
263;SOMBRIO;22.218;351.0;2.048;0;0;0;22.218
264;SUL BRASIL;2.406;21.0;156.0;0;0;0;2.406
265;TAIÓ;14.169;142.0;1.18;0;0;0;14.169
266;TANGARÁ;6.499;122.0;942.0;0;0;0;6.499
267;TIGRINHOS;1.973;15.0;167.0;0;0;0;1.973
268;TIJUCAS;28.948;322.0;2.887;0;0;0;28.948
269;TIMBÉ DO SUL;4.484;45.0;417.0;0;0;0;4.484
270;TIMBÓ;32.602;228.0;2.678;0;0;0;32.602
271;TIMBÓ GRANDE;5.701;74.0;528.0;0;0;0;5.701
272;TRÊS BARRAS;14.696;226.0;1.524;0;0;0;14.696
273;TREVISO;4.052;34.0;339.0;0;0;0;4.052
274;TREZE DE MAIO;6.528;35.0;497.0;0;0;0;6.528
275;TREZE TÍLIAS;5.905;43.0;443.0;0;0;0;5.905
276;TROMBUDO CENTRAL;5.097;57.0;924.0;0;0;0;5.097
277;TUBARÃO;78.494;951.0;8.511000000000001;0;0;0;78.494
278;TUNÁPOLIS;3.943;29.0;246.0;0;0;0;3.943
279;TURVO;9.589;108.0;1.546;0;0;0;9.589
280;UNIÃO DO OESTE;2.469;39.0;190.0;0;0;0;2.469
281;URUBICI;8.289;109.0;942.0;0;0;0;8.289
282;URUPEMA;2.303;8.0;194.0;0;0;0;2.303
283;URUSSANGA;17.263;155.0;1.807;0;0;0;17.263
284;VARGEÃO;2.834;32.0;445.0;0;0;0;2.834
285;VARGEM;2.601;30.0;276.0;0;0;0;2.601
286;VARGEM BONITA;4.088;54.0;300.0;0;0;0;4.088
287;VIDAL RAMOS;5.286;52.0;418.0;0;0;0;5.286
288;VIDEIRA;37.714;519.0;3.574;0;0;0;37.714
289;VITOR MEIRELES;4.496;54.0;406.0;0;0;0;4.496
290;WITMARSUM;3.416;29.0;241.0;0;0;0;3.416
291;XANXERÊ;35.687;421.0;2.883;0;0;0;35.687
292;XAVANTINA;3.525;23.0;213.0;0;0;0;3.525
293;XAXIM;21.974;355.0;1.784;0;0;0;21.974
294;ZORTÉA;2.874;32.0;172.0;0;0;0;2.874
295;TOTAL;5.205.931;58.801;610.6419999999999;0;0;0;5.205.931
